timestamp,symbol,signal,confidence,price,atr,ema50,ema200,rsi,volume_ratio,trend,trend_score,momentum_score,volume_score,market_score,reasons
2026-06-23T15:40:00+00:00,DOGEUSDT,WAIT,25,0.07858,0.0003621428571428,0.0800397734318675,0.0819316179946359,29.958474722567843,1.1135935026080177,DOWNTREND,3,2,5,2.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (30.0) | ⚠ Moderate volume (1.11x) | ✅ ATR expanding (0.0004 > 0.0003)
2026-06-23T15:40:00+00:00,BTCUSDT,WAIT,25,62277.09,239.56785714285743,62820.84588145782,63690.15636420615,41.38230731604666,0.9752929048233452,DOWNTREND,3,7,2,2.5,❌ Weak 4H trend | ❌ Weak 1H trend | ⚠ RSI slightly weak (41.4) | ❌ Volume below average (0.98x) | ✅ ATR expanding (239.5679 > 187.8974)
2026-06-23T15:40:00+00:00,SUIUSDT,WAIT,25,0.7016,0.0053928571428571,0.7037961097890029,0.7098704140500226,48.8323948187785,0.6344181394066851,DOWNTREND,3,10,2,2.5,❌ Weak 4H trend | ❌ Weak 1H trend | ✅ RSI healthy (48.8) | ❌ Volume below average (0.63x) | ⚠ ATR not expanding (0.0054 ≤ 0.0056)
2026-06-23T15:40:00+00:00,BNBUSDT,WAIT,25,573.46,1.953571428571422,578.1711272276191,586.1620577198897,41.80043563417508,0.5053297425961146,DOWNTREND,3,7,2,2.5,❌ Weak 4H trend | ❌ Weak 1H trend | ⚠ RSI slightly weak (41.8) | ❌ Volume below average (0.51x) | ✅ ATR expanding (1.9536 > 1.8730)
2026-06-23T15:40:00+00:00,LINKUSDT,WAIT,25,7.567,0.0403571428571428,7.6645348589100015,7.829067026084248,40.32894849106525,0.3276160377218981,DOWNTREND,3,7,2,2.5,❌ Weak 4H trend | ❌ Weak 1H trend | ⚠ RSI slightly weak (40.3) | ❌ Volume below average (0.33x) | ✅ ATR expanding (0.0404 > 0.0334)
2026-06-23T15:40:00+00:00,TONUSDT,WAIT,20,1.527,0.0142857142857142,1.60939515883093,1.6474294370847058,31.62610556154911,1.2589353767382137,DOWNTREND,3,2,8,2.0,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (31.6) | ✅ Volume above average (1.26x) | ⚠ ATR not expanding (0.0143 ≤ 0.0260)
2026-06-23T15:40:00+00:00,ATOMUSDT,WAIT,15,1.728,0.0093571428571428,1.7635198405463255,1.7820376983578463,32.10749868418361,0.975658222139167,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (32.1) | ❌ Volume below average (0.98x) | ✅ ATR expanding (0.0094 > 0.0084)
2026-06-23T15:40:00+00:00,ADAUSDT,WAIT,15,0.1505,0.00105,0.1537995258109151,0.1578528335437118,33.799169089645545,0.8831456258667664,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (33.8) | ❌ Volume below average (0.88x) | ✅ ATR expanding (0.0011 > 0.0009)
2026-06-23T15:40:00+00:00,SOLUSDT,WAIT,15,68.62,0.3842857142857149,69.81803235069584,71.80984980201697,35.28389874893439,0.8735923935574084,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (35.3) | ❌ Volume below average (0.87x) | ✅ ATR expanding (0.3843 > 0.3200)
2026-06-23T15:40:00+00:00,NEARUSDT,WAIT,15,1.976,0.0134285714285713,2.0136446356290043,2.0895720034564444,35.45057222108282,0.8575108682822872,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (35.5) | ❌ Volume below average (0.86x) | ✅ ATR expanding (0.0134 > 0.0130)
2026-06-23T15:40:00+00:00,ETHUSDT,WAIT,15,1654.02,7.705000000000008,1675.975581628315,1712.2301618583022,39.91380838402152,0.7962705351556839,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (39.9) | ❌ Volume below average (0.80x) | ✅ ATR expanding (7.7050 > 6.6005)
2026-06-23T15:40:00+00:00,SEIUSDT,WAIT,15,0.05236,0.0002885714285714,0.0531597164000818,0.0542242961747397,36.52484083525376,0.6899719835984153,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (36.5) | ❌ Volume below average (0.69x) | ✅ ATR expanding (0.0003 > 0.0003)
2026-06-23T15:40:00+00:00,DOTUSDT,WAIT,15,0.896,0.0054285714285714,0.9103505847371232,0.9374589676417244,38.40415327078666,0.4709335748284891,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (38.4) | ❌ Volume below average (0.47x) | ✅ ATR expanding (0.0054 > 0.0044)
2026-06-23T15:40:00+00:00,INJUSDT,WAIT,15,4.533,0.0328571428571428,4.622240404769217,4.794280766587368,38.473491859463024,0.4655258554935778,DOWNTREND,3,2,2,1.5,❌ Weak 4H trend | ❌ Weak 1H trend | ❌ RSI outside opportunity range (38.5) | ❌ Volume below average (0.47x) | ✅ ATR expanding (0.0329 > 0.0290)
2026-06-23T15:50:00+00:00,LINKUSDT,WAIT,55,7.625,0.0478571428571427,7.662985038566213,7.828031407365998,51.53965326227343,8.747355255319203,DOWNTREND,3,10,10,5.5,❌ Weak 4H trend | ❌ Weak 1H trend | ✅ RSI healthy (51.5) | ✅ Strong volume expansion (8.75x) | ✅ ATR expanding (0.0479 > 0.0338)
2026-06-23T15:50:00+00:00,TRXUSDT,WAIT,45,0.33,0.0004071428571428,0.330654962117838,0.330407547915754,47.73585404206971,0.9132656329759172,DOWNTREND,3,10,2,4.5,❌ Weak 4H trend | ✅ Strong 1H trend | ✅ RSI healthy (47.7) | ❌ Volume below average (0.91x) | ⚠ ATR not expanding (0.0004 ≤ 0.0004)
2026-06-23T15:50:00+00:00,APTUSDT,WAIT,40,0.632,0.0042142857142857,0.6383300224672008,0.6518388118276164,44.548569171721375,1.4773309480599637,DOWNTREND,3,7,8,4.0,❌ Weak 4H trend | ❌ Weak 1H trend | ⚠ RSI slightly weak (44.5) | ✅ Volume above average (1.48x) | ✅ ATR expanding (0.0042 > 0.0037)
